Origen;Destino;Ruta;TiempoViaje;Hora;DíaSemana;Pasajeros;Retraso
San Bosco;Centro;T50;9;2:15:00 p. m.;Domingo;53;4
Capri;Estadio;T31;8;1:15:00 p. m.;Domingo;100;4
Unidad Deportiva;Meléndez;P21A;7;1:45:00 p. m.;Martes;25;2
Unidad Deportiva;Meléndez;P21A;8;2:30:00 p. m.;Domingo;14;3
Capri;Estadio;T31;6;6:15:00 a. m.;Sábado;94;2
San Fernando;Estadio;T47A;8;2:30:00 p. m.;Viernes;97;1
Estadio;Capri;T31;7;6:15:00 a. m.;Jueves;50;3
Estadio;San Fernando;T47A;12;3:45:00 p. m.;Lunes;71;5
San Fernando;Capri;T31;11;9:30:00 a. m.;Jueves;82;5
San Fernando;Universidades;T47A;9;12:00:00 p. m.;Jueves;60;4
San Fernando;Estadio;T47A;9;3:15:00 p. m.;Sábado;14;2
Unidad Deportiva;Meléndez;P21A;9;4:45:00 p. m.;Miércoles;12;4
San Fernando;Capri;T31;11;3:45:00 p. m.;Jueves;45;5
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;20;10:00:00 a. m.;Sábado;67;5
San Bosco;Centro;T50;9;12:45:00 p. m.;Jueves;74;4
San Fernando;Estadio;T47A;10;6:30:00 p. m.;Jueves;21;3
Meléndez;Universidades;P21A;7;7:30:00 a. m.;Viernes;79;3
Estadio;San Bosco;T50;10;8:30:00 a. m.;Martes;10;4
Centro;Capri;T31;15;1:45:00 p. m.;Sábado;12;5
Capri;San Fernando;T31;9;10:15:00 p. m.;Viernes;95;3
Centro;Capri;T31;12;8:15:00 a. m.;Viernes;51;2
Centro;San Bosco;T50;10;11:15:00 a. m.;Jueves;41;5
San Fernando;Capri;T31;6;4:15:00 p. m.;Martes;26;0
Unidad Deportiva;Meléndez;P21A;9;12:45:00 p. m.;Martes;71;4
Centro;San Bosco;T50;6;7:00:00 p. m.;Jueves;66;1
Universidades;Meléndez;P21A;4;9:30:00 a. m.;Domingo;27;0
Centro;Capri;T31;13;12:30:00 p. m.;Viernes;98;3
Capri;Estadio;T31;7;10:15:00 a. m.;Jueves;95;3
Centro;Terminal Andrés Sanín;E21;11;9:45:00 p. m.;Viernes;23;3
Estadio;San Fernando;T47A;7;10:15:00 a. m.;Domingo;58;0
Meléndez;Universidades;P21A;9;7:15:00 p. m.;Domingo;97;5
Centro;Terminal Andrés Sanín;E21;13;6:45:00 a. m.;Lunes;41;5
San Fernando;Capri;T31;9;10:45:00 p. m.;Viernes;60;3
Unidad Deportiva;Meléndez;P21A;10;4:00:00 p. m.;Lunes;22;5
Capri;Centro;T31;12;9:30:00 a. m.;Sábado;98;2
Terminal Andrés Sanín;Centro;E21;9;7:45:00 a. m.;Domingo;21;1
Estadio;Capri;T31;4;4:30:00 p. m.;Lunes;42;0
San Bosco;Estadio;T50;9;10:15:00 p. m.;Lunes;91;3
San Bosco;Estadio;T50;7;8:15:00 a. m.;Jueves;43;1
Meléndez;Unidad Deportiva;P21A;6;4:30:00 p. m.;Miércoles;80;1
Centro;Terminal Andrés Sanín;E21;11;7:30:00 p. m.;Viernes;23;3
Terminal Andrés Sanín;Centro;E21;13;11:15:00 a. m.;Jueves;70;5
San Bosco;Centro;T50;6;9:15:00 a. m.;Jueves;59;1
Capri;Estadio;T31;4;8:00:00 p. m.;Miércoles;52;0
Capri;Estadio;T31;6;10:00:00 p. m.;Domingo;66;2
Capri;San Fernando;T31;6;7:00:00 p. m.;Sábado;98;0
Estadio;San Bosco;T50;9;9:45:00 p. m.;Miércoles;72;3
Centro;Terminal Andrés Sanín;E21;11;6:30:00 a. m.;Viernes;17;3
San Bosco;Estadio;T50;10;5:30:00 p. m.;Miércoles;13;4
Centro;San Bosco;T50;7;5:45:00 a. m.;Lunes;50;2
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;17;5:45:00 a. m.;Martes;41;2
Terminal Andrés Sanín;Centro;E21;11;7:15:00 p. m.;Lunes;62;3
San Fernando;Estadio;T47A;7;2:15:00 p. m.;Domingo;91;0
Unidad Deportiva;Meléndez;P21A;7;7:30:00 a. m.;Lunes;65;2
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;16;10:00:00 p. m.;Jueves;37;1
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;20;11:00:00 a. m.;Domingo;17;5
Centro;San Bosco;T50;7;1:45:00 p. m.;Martes;75;2
Meléndez;Unidad Deportiva;P21A;6;9:30:00 a. m.;Martes;49;1
San Bosco;Centro;T50;7;5:30:00 a. m.;Sábado;38;2
Capri;San Fernando;T31;7;10:45:00 a. m.;Jueves;70;1
San Fernando;Universidades;T47A;8;8:30:00 p. m.;Sábado;60;3
Capri;Centro;T31;13;1:45:00 p. m.;Lunes;81;3
Meléndez;Universidades;P21A;6;10:30:00 p. m.;Jueves;78;2
San Fernando;Universidades;T47A;8;6:15:00 p. m.;Martes;15;3
Estadio;San Fernando;T47A;8;9:15:00 a. m.;Jueves;91;1
Estadio;Capri;T31;5;4:45:00 p. m.;Viernes;55;1
Centro;San Bosco;T50;8;7:45:00 p. m.;Domingo;50;3
San Fernando;Capri;T31;9;7:30:00 a. m.;Jueves;29;3
Centro;Capri;T31;12;10:00:00 a. m.;Viernes;84;2
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;18;6:15:00 a. m.;Martes;51;3
Capri;San Fernando;T31;8;5:45:00 p. m.;Jueves;41;2
Estadio;San Fernando;T47A;8;11:45:00 a. m.;Sábado;32;1
Estadio;Capri;T31;8;4:15:00 p. m.;Lunes;29;4
San Bosco;Estadio;T50;6;10:30:00 p. m.;Viernes;46;0
Meléndez;Unidad Deportiva;P21A;7;6:15:00 a. m.;Lunes;98;2
Terminal Andrés Sanín;Centro;E21;11;8:15:00 p. m.;Martes;38;3
Estadio;Capri;T31;9;3:30:00 p. m.;Martes;23;5
San Bosco;Centro;T50;6;8:30:00 p. m.;Miércoles;94;1
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;17;5:00:00 p. m.;Sábado;33;2
Estadio;San Bosco;T50;7;10:45:00 p. m.;Sábado;82;1
Universidades;San Fernando;T47A;10;5:00:00 p. m.;Martes;16;5
Capri;San Fernando;T31;8;12:45:00 p. m.;Domingo;42;2
San Bosco;Estadio;T50;6;7:30:00 a. m.;Domingo;64;0
San Fernando;Capri;T31;7;11:15:00 a. m.;Domingo;97;1
Estadio;San Fernando;T47A;7;10:00:00 a. m.;Viernes;50;0
Terminal Andrés Sanín;Centro;E21;9;9:45:00 a. m.;Viernes;19;1
Centro;Terminal Andrés Sanín;E21;12;2:45:00 p. m.;Jueves;85;4
Estadio;San Bosco;T50;9;4:15:00 p. m.;Domingo;50;3
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;15;10:00:00 a. m.;Martes;77;0
San Fernando;Universidades;T47A;7;12:15:00 p. m.;Jueves;45;2
Capri;Centro;T31;10;12:45:00 p. m.;Miércoles;29;0
Capri;Estadio;T31;9;8:00:00 a. m.;Sábado;20;5
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;20;7:45:00 a. m.;Jueves;44;5
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;20;9:00:00 p. m.;Martes;85;5
San Bosco;Estadio;T50;9;2:00:00 p. m.;Lunes;90;3
San Bosco;Centro;T50;7;9:30:00 a. m.;Jueves;71;2
Centro;Capri;T31;11;9:45:00 p. m.;Martes;68;1
Centro;Capri;T31;13;11:00:00 a. m.;Sábado;52;3
Centro;Terminal Andrés Sanín;E21;8;8:30:00 p. m.;Miércoles;59;0
Estadio;San Bosco;T50;7;12:30:00 p. m.;Domingo;78;1
Estadio;San Fernando;T47A;7;9:45:00 p. m.;Viernes;86;0
San Fernando;Universidades;T47A;8;9:30:00 a. m.;Sábado;32;3
Estadio;Capri;T31;8;1:30:00 p. m.;Sábado;21;4
Centro;San Bosco;T50;6;3:30:00 p. m.;Lunes;53;1
Unidad Deportiva;Meléndez;P21A;10;8:45:00 a. m.;Miércoles;100;5
Capri;Centro;T31;12;9:00:00 a. m.;Martes;96;2
Estadio;Capri;T31;8;8:30:00 a. m.;Martes;71;4
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;18;4:00:00 p. m.;Viernes;68;3
Universidades;Meléndez;P21A;8;2:30:00 p. m.;Sábado;62;4
San Fernando;Estadio;T47A;10;7:30:00 a. m.;Sábado;24;3
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;15;8:30:00 a. m.;Lunes;39;0
Centro;Terminal Andrés Sanín;E21;8;10:30:00 a. m.;Martes;56;0
Universidades;San Fernando;T47A;10;4:45:00 p. m.;Lunes;96;5
Unidad Deportiva;Meléndez;P21A;7;7:45:00 a. m.;Domingo;99;2
Centro;San Bosco;T50;8;8:00:00 a. m.;Martes;89;3
Capri;San Fernando;T31;7;11:00:00 a. m.;Domingo;100;1
Meléndez;Unidad Deportiva;P21A;9;6:45:00 p. m.;Miércoles;47;4
Estadio;San Bosco;T50;8;10:30:00 a. m.;Domingo;75;2
Universidades;San Fernando;T47A;6;5:45:00 p. m.;Domingo;23;1
Estadio;San Bosco;T50;6;5:00:00 a. m.;Lunes;68;0
Terminal Andrés Sanín;Centro;E21;12;8:00:00 a. m.;Martes;44;4
Estadio;Capri;T31;8;1:00:00 p. m.;Domingo;40;4
San Fernando;Capri;T31;6;3:45:00 p. m.;Viernes;94;0
Centro;San Bosco;T50;6;6:30:00 p. m.;Sábado;21;1
Centro;Capri;T31;11;5:15:00 p. m.;Jueves;55;1
San Fernando;Estadio;T47A;9;7:15:00 a. m.;Domingo;85;2
Estadio;San Bosco;T50;8;10:30:00 p. m.;Jueves;18;2
Capri;Centro;T31;15;6:15:00 p. m.;Martes;22;5
Centro;San Bosco;T50;6;7:00:00 p. m.;Sábado;55;1
Estadio;San Bosco;T50;7;6:00:00 a. m.;Jueves;93;1
Meléndez;Unidad Deportiva;P21A;5;7:00:00 p. m.;Sábado;21;0
Capri;Estadio;T31;6;3:30:00 p. m.;Lunes;15;2
Centro;Terminal Andrés Sanín;E21;13;4:15:00 p. m.;Domingo;87;5
Centro;San Bosco;T50;10;10:15:00 a. m.;Miércoles;72;5
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;15;4:30:00 p. m.;Viernes;73;0
Capri;Estadio;T31;6;8:00:00 a. m.;Lunes;87;2
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;18;9:30:00 p. m.;Sábado;49;3
Meléndez;Universidades;P21A;4;12:15:00 p. m.;Sábado;56;0
Terminal Andrés Sanín;Centro;E21;12;10:45:00 a. m.;Martes;80;4
Capri;Centro;T31;15;8:30:00 a. m.;Domingo;69;5
San Bosco;Estadio;T50;8;7:15:00 p. m.;Miércoles;72;2
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;15;11:15:00 a. m.;Lunes;49;0
San Fernando;Universidades;T47A;7;11:15:00 a. m.;Viernes;70;2
Terminal Andrés Sanín;Centro;E21;12;6:45:00 a. m.;Miércoles;85;4
Capri;Centro;T31;11;7:30:00 a. m.;Jueves;70;1
Capri;San Fernando;T31;7;12:00:00 p. m.;Sábado;71;1
Estadio;San Fernando;T47A;8;7:45:00 p. m.;Viernes;36;1
Capri;San Fernando;T31;7;7:45:00 a. m.;Miércoles;83;1
Estadio;San Bosco;T50;9;5:30:00 p. m.;Martes;90;3
Estadio;San Bosco;T50;10;8:30:00 p. m.;Miércoles;53;4
San Fernando;Universidades;T47A;10;2:30:00 p. m.;Viernes;93;5
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;16;1:00:00 p. m.;Jueves;94;1
San Fernando;Capri;T31;8;2:30:00 p. m.;Lunes;89;2
Meléndez;Unidad Deportiva;P21A;9;2:00:00 p. m.;Jueves;53;4
Meléndez;Universidades;P21A;7;6:00:00 p. m.;Domingo;64;3
Terminal Andrés Sanín;Centro;E21;8;5:15:00 a. m.;Lunes;48;0
San Fernando;Capri;T31;7;10:15:00 p. m.;Jueves;31;1
Centro;San Bosco;T50;6;10:30:00 p. m.;Lunes;85;1
Estadio;Capri;T31;9;7:00:00 a. m.;Miércoles;33;5
Capri;Centro;T31;11;9:30:00 p. m.;Miércoles;40;1
Unidad Deportiva;Meléndez;P21A;5;11:15:00 a. m.;Martes;94;0
Estadio;San Bosco;T50;10;4:45:00 p. m.;Domingo;52;4
Centro;San Bosco;T50;5;4:45:00 p. m.;Sábado;65;0
Centro;Terminal Andrés Sanín;E21;12;7:15:00 p. m.;Miércoles;47;4
Terminal Andrés Sanín;Centro;E21;12;2:30:00 p. m.;Martes;29;4
Estadio;Capri;T31;9;10:00:00 a. m.;Domingo;77;5
Meléndez;Unidad Deportiva;P21A;7;10:45:00 p. m.;Viernes;64;2
Capri;Centro;T31;15;2:00:00 p. m.;Domingo;99;5
Terminal Andrés Sanín;Centro;E21;11;12:30:00 p. m.;Miércoles;96;3
Estadio;Capri;T31;5;1:30:00 p. m.;Jueves;10;1
Centro;Capri;T31;11;6:45:00 p. m.;Sábado;33;1
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;20;8:00:00 a. m.;Miércoles;89;5
Meléndez;Universidades;P21A;8;2:30:00 p. m.;Miércoles;62;4
Centro;San Bosco;T50;9;8:30:00 p. m.;Viernes;21;4
Meléndez;Universidades;P21A;8;11:30:00 a. m.;Domingo;18;4
Centro;Capri;T31;11;7:45:00 a. m.;Lunes;12;1
Capri;Estadio;T31;6;7:15:00 a. m.;Domingo;89;2
Unidad Deportiva;Meléndez;P21A;10;8:30:00 a. m.;Lunes;41;5
Centro;San Bosco;T50;10;7:00:00 p. m.;Jueves;61;5
Meléndez;Universidades;P21A;6;10:00:00 a. m.;Domingo;47;2
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;16;9:00:00 a. m.;Jueves;34;1
Centro;San Bosco;T50;10;5:00:00 a. m.;Viernes;22;5
Capri;Centro;T31;15;12:00:00 p. m.;Martes;98;5
Unidad Deportiva;Meléndez;P21A;7;7:30:00 a. m.;Miércoles;43;2
San Fernando;Capri;T31;6;3:30:00 p. m.;Martes;37;0
Centro;Capri;T31;11;6:00:00 a. m.;Domingo;59;1
Capri;San Fernando;T31;8;6:15:00 a. m.;Sábado;26;2
San Fernando;Capri;T31;10;10:45:00 p. m.;Jueves;43;4
Centro;San Bosco;T50;8;9:30:00 p. m.;Martes;36;3
San Fernando;Estadio;T47A;9;7:15:00 p. m.;Miércoles;28;2
Centro;Capri;T31;10;9:00:00 p. m.;Lunes;71;0
Estadio;San Fernando;T47A;10;7:15:00 p. m.;Martes;35;3
Centro;Capri;T31;13;7:00:00 p. m.;Miércoles;100;3
Capri;San Fernando;T31;7;9:45:00 p. m.;Martes;72;1
Capri;San Fernando;T31;11;12:30:00 p. m.;Martes;36;5
Estadio;Capri;T31;8;9:00:00 p. m.;Sábado;50;4
San Fernando;Estadio;T47A;8;9:30:00 a. m.;Sábado;23;1
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;18;6:15:00 p. m.;Sábado;16;3
San Fernando;Estadio;T47A;11;6:45:00 a. m.;Martes;46;4
Meléndez;Universidades;P21A;8;1:00:00 p. m.;Lunes;87;4
Centro;Terminal Andrés Sanín;E21;8;9:00:00 p. m.;Sábado;35;0
Capri;Estadio;T31;5;2:15:00 p. m.;Viernes;48;1
Meléndez;Universidades;P21A;7;6:00:00 p. m.;Domingo;68;3
Estadio;Capri;T31;9;6:45:00 p. m.;Domingo;73;5
San Bosco;Centro;T50;10;10:15:00 p. m.;Lunes;51;5
San Fernando;Universidades;T47A;5;7:15:00 a. m.;Miércoles;91;0
Meléndez;Universidades;P21A;8;5:00:00 a. m.;Lunes;33;4
Terminal Andrés Sanín;Centro;E21;13;3:00:00 p. m.;Jueves;30;5
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;18;10:00:00 a. m.;Miércoles;81;3
San Fernando;Capri;T31;7;7:30:00 a. m.;Martes;48;1
San Bosco;Estadio;T50;7;6:15:00 p. m.;Miércoles;46;1
Unidad Deportiva;Meléndez;P21A;6;7:15:00 p. m.;Lunes;66;1
Estadio;Capri;T31;9;5:00:00 a. m.;Lunes;29;5
San Bosco;Estadio;T50;10;8:15:00 a. m.;Jueves;56;4
San Bosco;Centro;T50;7;5:15:00 a. m.;Martes;60;2
Capri;San Fernando;T31;10;6:30:00 a. m.;Domingo;94;4
Unidad Deportiva;Meléndez;P21A;8;3:15:00 p. m.;Miércoles;93;3
San Fernando;Capri;T31;10;7:00:00 a. m.;Jueves;78;4
Centro;Terminal Andrés Sanín;E21;12;12:30:00 p. m.;Lunes;99;4
Centro;Terminal Andrés Sanín;E21;13;11:00:00 a. m.;Domingo;55;5
Capri;San Fernando;T31;8;4:30:00 p. m.;Sábado;85;2
San Fernando;Estadio;T47A;10;8:45:00 p. m.;Lunes;83;3
Centro;Terminal Andrés Sanín;E21;10;2:45:00 p. m.;Viernes;18;2
San Bosco;Estadio;T50;9;10:30:00 a. m.;Lunes;83;3
Unidad Deportiva;Meléndez;P21A;9;1:30:00 p. m.;Lunes;85;4
Estadio;San Fernando;T47A;10;10:15:00 a. m.;Martes;74;3
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;20;11:30:00 a. m.;Domingo;72;5
Centro;Capri;T31;10;5:45:00 a. m.;Jueves;74;0
Meléndez;Universidades;P21A;4;10:45:00 a. m.;Viernes;49;0
Universidades;San Fernando;T47A;9;7:45:00 a. m.;Sábado;78;4
Capri;Estadio;T31;7;7:15:00 p. m.;Domingo;16;3
Estadio;Capri;T31;7;4:00:00 p. m.;Miércoles;74;3
Universidades;San Fernando;T47A;5;9:45:00 p. m.;Lunes;17;0
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;17;4:45:00 p. m.;Martes;39;2
Unidad Deportiva;Meléndez;P21A;5;10:15:00 a. m.;Sábado;68;0
Centro;San Bosco;T50;5;10:15:00 p. m.;Jueves;64;0
Meléndez;Unidad Deportiva;P21A;7;11:15:00 a. m.;Miércoles;66;2
Centro;San Bosco;T50;7;2:00:00 p. m.;Miércoles;88;2
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;19;4:15:00 p. m.;Lunes;28;4
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;15;10:45:00 p. m.;Jueves;51;0
San Bosco;Estadio;T50;11;4:00:00 p. m.;Lunes;13;5
Capri;Centro;T31;10;8:45:00 a. m.;Viernes;15;0
Centro;Terminal Andrés Sanín;E21;12;7:15:00 p. m.;Martes;10;4
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;17;5:45:00 p. m.;Martes;20;2
San Bosco;Estadio;T50;7;9:15:00 a. m.;Domingo;36;1
San Fernando;Capri;T31;7;11:30:00 a. m.;Martes;39;1
San Fernando;Capri;T31;9;7:45:00 p. m.;Lunes;47;3
San Bosco;Estadio;T50;10;4:00:00 p. m.;Jueves;95;4
Estadio;San Bosco;T50;6;5:30:00 p. m.;Sábado;99;0
Centro;San Bosco;T50;9;8:15:00 a. m.;Viernes;89;4
Centro;San Bosco;T50;8;2:30:00 p. m.;Viernes;37;3
San Fernando;Estadio;T47A;11;6:15:00 a. m.;Miércoles;40;4
San Bosco;Centro;T50;10;8:15:00 a. m.;Viernes;65;5
San Fernando;Universidades;T47A;9;6:00:00 a. m.;Viernes;33;4
Centro;Capri;T31;13;10:45:00 a. m.;Miércoles;86;3
Estadio;Capri;T31;5;10:15:00 a. m.;Jueves;71;1
Meléndez;Unidad Deportiva;P21A;7;1:15:00 p. m.;Lunes;26;2
Estadio;Capri;T31;6;11:45:00 a. m.;Lunes;18;2
Centro;San Bosco;T50;8;5:30:00 p. m.;Miércoles;41;3
Universidades;San Fernando;T47A;7;10:45:00 a. m.;Viernes;42;2
Capri;Centro;T31;10;10:00:00 p. m.;Martes;81;0
Universidades;San Fernando;T47A;9;6:15:00 a. m.;Miércoles;44;4
Centro;Capri;T31;15;6:15:00 a. m.;Lunes;63;5
Centro;Terminal Andrés Sanín;E21;13;12:15:00 p. m.;Sábado;45;5
Centro;San Bosco;T50;8;3:30:00 p. m.;Martes;55;3
Terminal Andrés Sanín;Centro;E21;13;11:00:00 a. m.;Viernes;71;5
San Fernando;Estadio;T47A;11;8:30:00 p. m.;Sábado;52;4
San Fernando;Estadio;T47A;8;2:00:00 p. m.;Sábado;37;1
Terminal Andrés Sanín;Centro;E21;13;7:15:00 p. m.;Lunes;97;5
Universidades;Meléndez;P21A;6;6:45:00 a. m.;Martes;49;2
Centro;San Bosco;T50;10;3:30:00 p. m.;Lunes;71;5
Centro;San Bosco;T50;5;8:30:00 a. m.;Miércoles;46;0
San Bosco;Estadio;T50;9;8:00:00 a. m.;Lunes;30;3
San Fernando;Estadio;T47A;8;7:00:00 a. m.;Miércoles;64;1
San Fernando;Universidades;T47A;6;8:45:00 a. m.;Domingo;83;1
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;16;11:00:00 a. m.;Domingo;87;1
Universidades;Meléndez;P21A;4;11:30:00 a. m.;Sábado;78;0
Capri;San Fernando;T31;10;8:45:00 a. m.;Sábado;72;4
Estadio;Capri;T31;9;5:45:00 a. m.;Lunes;77;5
Meléndez;Unidad Deportiva;P21A;9;7:00:00 a. m.;Viernes;40;4
San Bosco;Estadio;T50;11;7:30:00 p. m.;Viernes;33;5
Unidad Deportiva;Meléndez;P21A;8;6:00:00 a. m.;Martes;74;3
Estadio;San Bosco;T50;9;8:45:00 a. m.;Martes;32;3
San Fernando;Universidades;T47A;6;6:30:00 a. m.;Miércoles;95;1
Universidades;Meléndez;P21A;7;4:00:00 p. m.;Lunes;12;3
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;17;9:00:00 p. m.;Jueves;82;2
Centro;Capri;T31;13;12:45:00 p. m.;Sábado;18;3
Centro;San Bosco;T50;5;5:30:00 a. m.;Martes;95;0
Meléndez;Unidad Deportiva;P21A;6;7:30:00 a. m.;Martes;11;1
Unidad Deportiva;Meléndez;P21A;5;3:45:00 p. m.;Miércoles;84;0
Universidades;Meléndez;P21A;5;1:15:00 p. m.;Miércoles;77;1
San Fernando;Capri;T31;10;2:30:00 p. m.;Sábado;100;4
Capri;San Fernando;T31;9;6:15:00 p. m.;Lunes;82;3
Centro;Capri;T31;14;1:00:00 p. m.;Miércoles;85;4
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;19;7:45:00 p. m.;Domingo;22;4
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;16;10:45:00 p. m.;Jueves;67;1
Terminal Andrés Sanín;Centro;E21;13;7:00:00 a. m.;Miércoles;44;5
Capri;Centro;T31;10;1:30:00 p. m.;Martes;31;0
Estadio;San Fernando;T47A;8;9:30:00 a. m.;Martes;74;1
Meléndez;Unidad Deportiva;P21A;9;5:45:00 a. m.;Viernes;48;4
San Fernando;Capri;T31;10;12:00:00 p. m.;Miércoles;54;4
Capri;San Fernando;T31;6;6:45:00 p. m.;Sábado;89;0
Centro;Capri;T31;12;9:30:00 p. m.;Lunes;70;2
San Fernando;Estadio;T47A;10;7:00:00 a. m.;Martes;63;3
Meléndez;Unidad Deportiva;P21A;7;12:15:00 p. m.;Sábado;25;2
San Fernando;Capri;T31;8;4:45:00 p. m.;Martes;48;2
Centro;San Bosco;T50;7;8:30:00 a. m.;Sábado;61;2
Estadio;San Bosco;T50;6;5:45:00 a. m.;Sábado;89;0
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;18;6:00:00 p. m.;Domingo;52;3
Centro;Capri;T31;14;1:45:00 p. m.;Lunes;74;4
Estadio;San Fernando;T47A;8;8:45:00 p. m.;Sábado;89;1
Estadio;Capri;T31;9;6:00:00 a. m.;Miércoles;65;5
Estadio;San Fernando;T47A;12;10:45:00 p. m.;Miércoles;10;5
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;20;9:15:00 a. m.;Lunes;52;5
San Fernando;Capri;T31;11;10:45:00 a. m.;Martes;16;5
Terminal Andrés Sanín;Centro;E21;12;8:45:00 a. m.;Miércoles;69;4
Estadio;San Fernando;T47A;7;12:45:00 p. m.;Martes;17;0
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;18;10:00:00 a. m.;Viernes;66;3
Capri;Estadio;T31;6;3:15:00 p. m.;Miércoles;81;2
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;18;5:15:00 p. m.;Martes;84;3
San Fernando;Capri;T31;6;6:00:00 p. m.;Viernes;55;0
San Fernando;Estadio;T47A;11;10:30:00 a. m.;Miércoles;46;4
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;16;2:15:00 p. m.;Domingo;21;1
Capri;Estadio;T31;4;7:15:00 a. m.;Miércoles;98;0
Centro;Capri;T31;13;5:15:00 p. m.;Jueves;46;3
Universidades;San Fernando;T47A;6;9:30:00 p. m.;Lunes;40;1
Centro;Terminal Andrés Sanín;E21;9;11:45:00 a. m.;Lunes;40;1
Universidades;San Fernando;T47A;8;6:45:00 a. m.;Miércoles;88;3
Capri;San Fernando;T31;6;12:45:00 p. m.;Domingo;72;0
Unidad Deportiva;Meléndez;P21A;8;2:30:00 p. m.;Miércoles;29;3
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;15;10:30:00 p. m.;Sábado;96;0
Unidad Deportiva;Meléndez;P21A;5;11:15:00 a. m.;Lunes;53;0
Centro;Capri;T31;10;9:15:00 a. m.;Lunes;68;0
Capri;Centro;T31;12;9:15:00 a. m.;Sábado;81;2
Meléndez;Universidades;P21A;5;6:45:00 a. m.;Viernes;10;1
Capri;San Fernando;T31;10;6:15:00 a. m.;Lunes;10;4
Estadio;Capri;T31;9;7:15:00 a. m.;Miércoles;38;5
Meléndez;Universidades;P21A;9;3:45:00 p. m.;Jueves;19;5
Centro;Terminal Andrés Sanín;E21;11;9:30:00 a. m.;Miércoles;87;3
Meléndez;Universidades;P21A;5;12:00:00 p. m.;Viernes;12;1
Estadio;Capri;T31;7;2:30:00 p. m.;Sábado;35;3
Centro;Capri;T31;11;9:45:00 p. m.;Lunes;73;1
Universidades;San Fernando;T47A;10;7:30:00 p. m.;Martes;49;5
Capri;Estadio;T31;9;8:00:00 a. m.;Domingo;92;5
Terminal Andrés Sanín;Centro;E21;10;9:00:00 p. m.;Jueves;65;2
Meléndez;Unidad Deportiva;P21A;6;1:15:00 p. m.;Sábado;16;1
Capri;Centro;T31;10;10:15:00 p. m.;Domingo;49;0
Capri;Estadio;T31;9;8:30:00 p. m.;Viernes;44;5
Terminal Menga UTR&T;Terminal Andrés Sanín;E27;19;6:00:00 a. m.;Jueves;91;4
Centro;San Bosco;T50;7;9:45:00 a. m.;Martes;51;2
Terminal Andrés Sanín;Centro;E21;12;7:30:00 a. m.;Lunes;14;4
Centro;San Bosco;T50;9;5:30:00 p. m.;Viernes;83;4
Universidades;San Fernando;T47A;6;10:45:00 a. m.;Viernes;79;1
Meléndez;Unidad Deportiva;P21A;9;9:30:00 a. m.;Martes;71;4
Meléndez;Unidad Deportiva;P21A;6;6:15:00 a. m.;Jueves;54;1
Estadio;Capri;T31;5;7:30:00 p. m.;Viernes;54;1
Estadio;San Fernando;T47A;9;6:30:00 a. m.;Martes;71;2
Capri;Centro;T31;11;2:30:00 p. m.;Sábado;18;1
Capri;Centro;T31;11;6:30:00 p. m.;Martes;62;1
San Fernando;Capri;T31;11;10:30:00 p. m.;Lunes;82;5
San Fernando;Capri;T31;11;10:00:00 p. m.;Martes;83;5
Meléndez;Universidades;P21A;4;9:00:00 p. m.;Sábado;29;0
Estadio;San Bosco;T50;10;4:30:00 p. m.;Miércoles;94;4
San Fernando;Universidades;T47A;5;10:00:00 a. m.;Jueves;19;0
San Fernando;Universidades;T47A;5;10:00:00 a. m.;Sábado;14;0
Terminal Andrés Sanín;Terminal Menga UTR&T;E27;16;8:15:00 p. m.;Jueves;57;1
